CSAFP,CBSAFP,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
352,38380,38380,310M700US38380,"Plainview, TX","Plainview, TX Micro Area",M2,2,G3110,5171746706,1230415,+34.0669330,-101.5714224,5404.55918655151,0.1
,38420,38420,310M700US38420,"Platteville, WI","Platteville, WI Micro Area",M2,2,G3110,2972281305,92642517,+42.8700275,-090.6942288,3069.4041037345737,0.1
,38460,38460,310M700US38460,"Plattsburgh, NY","Plattsburgh, NY Micro Area",M2,2,G3110,2687763025,206581998,+44.7527120,-073.7056429,2971.894450703514,0.1
515,38500,38500,310M700US38500,"Plymouth, IN","Plymouth, IN Micro Area",M2,2,G3110,1148964732,15863826,+41.3250032,-086.2690363,1164.0090612921908,0.1
428,37980,37980,310M700US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",M1,1,G3110,11922292477,691900131,+39.8949576,-075.3119824,12917.72866711566,0.1
,38540,38540,310M700US38540,"Pocatello, ID","Pocatello, ID Metro Area",M1,1,G3110,2881332843,92079664,+42.6929211,-112.2289819,3295.5884811234387,0.1
,38620,38620,310M700US38620,"Ponca City, OK","Ponca City, OK Micro Area",M2,2,G3110,2381778878,65545215,+36.8148851,-097.1438616,2495.199401547562,0.1
434,38660,38660,310M700US38660,"Ponce, PR","Ponce, PR Metro Area",M1,1,G3110,946643089,447355259,+18.0228643,-066.6457033,1565.157985346116,0.1
145,38700,38700,310M700US38700,"Pontiac, IL","Pontiac, IL Micro Area",M2,2,G3110,2702983876,5975815,+40.8943761,-088.5528518,2707.958951745499,0.1
,38740,38740,310M700US38740,"Poplar Bluff, MO","Poplar Bluff, MO Micro Area",M2,2,G3110,1799405245,11196956,+36.7151802,-090.4031300,1813.2913490774379,0.1
429,38060,38060,310M700US38060,"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Chandler, AZ Metro Area",M1,1,G3110,37732739671,82855906,+33.1857653,-112.0678624,43252.11635333125,0.1
,38820,38820,310M700US38820,"Port Angeles, WA","Port Angeles, WA Micro Area",M2,2,G3110,4503402670,2409320051,+48.1109034,-123.8898599,8235.138043808733,0.1
438,38860,38860,310M700US38860,"Portland-South Portland, ME","Portland-South Portland, ME Metro Area",M1,1,G3110,5390727637,2009396289,+43.6514172,-070.4183755,7724.75132115085,0.1
440,38900,38900,310M700US38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area",M1,1,G3110,17320267665,354162782,+45.6006221,-122.4843780,21157.968821446277,0.1
406,38100,38100,310M700US38100,"Picayune, MS","Picayune, MS Micro Area",M2,2,G3110,2101322057,20768206,+30.7747929,-089.5869043,2123.6185676409946,0.1
,38180,38180,310M700US38180,"Pierre, SD","Pierre, SD Micro Area",M2,2,G3110,5661617810,341706912,+44.4048969,-100.4848175,6170.385408182405,0.1
,38210,38210,310M700US38210,"Pikeville, KY","Pikeville, KY Micro Area",M2,2,G3110,3054948712,12301715,+37.4993655,-082.5097938,3076.7286735244284,0.1
340,38220,38220,310M700US38220,"Pine Bluff, AR","Pine Bluff, AR Micro Area",M2,2,G3110,3807945656,115633391,+34.1211155,-092.0419692,3941.348788587655,0.1
246,38240,38240,310M700US38240,"Pinehurst-Southern Pines, NC","Pinehurst-Southern Pines, NC Metro Area",M1,1,G3110,1806846432,20853327,+35.3082734,-079.4927233,1847.4022974506815,0.1
544,38920,38920,310M700US38920,"Port Lavaca, TX","Port Lavaca, TX Micro Area",M2,2,G3110,1312947260,1361644522,+28.4417191,-096.5795739,2731.70135587016,0.1
370,38940,38940,310M700US38940,"Port St. Lucie, FL","Port St. Lucie, FL Metro Area",M1,1,G3110,2889642160,842852656,+27.2280459,-080.4253884,3768.8655474878183,0.1
170,39020,39020,310M700US39020,"Portsmouth, OH","Portsmouth, OH Micro Area",M2,2,G3110,1580293392,16072294,+38.8148886,-082.9986750,1599.8622605464827,0.1
,39040,39040,310M700US39040,"Port Townsend, WA","Port Townsend, WA Micro Area",M2,2,G3110,4671633806,994992501,+47.8057075,-123.5270572,6746.134162271923,0.1
,39060,39060,310M700US39060,"Pottsville, PA","Pottsville, PA Micro Area",M2,2,G3110,2016509901,10820294,+40.7036820,-076.2177878,2067.4717121288963,0.1
,39150,39150,310M700US39150,"Prescott Valley-Prescott, AZ","Prescott Valley-Prescott, AZ Metro Area",M1,1,G3110,21038297494,11358280,+34.6310710,-112.5772247,24081.72558898989,0.1
,39220,39220,310M700US39220,"Price, UT","Price, UT Micro Area",M2,2,G3110,3831481453,15484604,+39.6732840,-110.5884845,4248.731418076788,0.1
148,39300,39300,310M700US39300,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area",M1,1,G3110,4110324820,1681132410,+41.7068397,-071.2866874,6031.630267212662,0.1
482,39340,39340,310M700US39340,"Provo-Orem-Lehi, UT","Provo-Orem-Lehi, UT Metro Area",M1,1,G3110,13976281061,398449361,+39.8720670,-112.3590592,16111.850072871392,0.1
444,39380,39380,310M700US39380,"Pueblo, CO","Pueblo, CO Metro Area",M1,1,G3110,6181242834,28941249,+38.1627652,-104.4846683,6574.678363692117,0.1
446,39420,39420,310M700US39420,"Pullman, WA","Pullman, WA Micro Area",M2,2,G3110,5592463289,48246698,+46.9059441,-117.5353898,6409.858896025511,0.1
412,39460,39460,310M700US39460,"Punta Gorda, FL","Punta Gorda, FL Metro Area",M1,1,G3110,1764084561,689244725,+26.9063964,-082.0036572,2466.4044201647516,0.1
405,39480,39480,310M700US39480,"Putnam, CT","Putnam, CT Micro Area",M2,2,G3110,1434581261,23987846,+41.8423749,-071.9726550,1514.0940104337965,0.1
448,39500,39500,310M700US39500,"Quincy, IL-MO","Quincy, IL-MO Micro Area",M2,2,G3110,3522821483,56713226,+40.0271652,-091.3898384,3589.080923382967,0.1
376,39540,39540,310M700US39540,"Racine-Mount Pleasant, WI","Racine-Mount Pleasant, WI Metro Area",M1,1,G3110,861457778,1190182837,+42.7803923,-087.7715988,2050.209431025231,0.1
450,39580,39580,310M700US39580,"Raleigh-Cary, NC","Raleigh-Cary, NC Metro Area",M1,1,G3110,5486697484,74610124,+35.7567464,-078.4604412,5639.14190376571,0.1
452,39660,39660,310M700US39660,"Rapid City, SD","Rapid City, SD Metro Area",M1,1,G3110,20213929596,56159652,+44.1951082,-102.9166120,21071.200708129607,0.1
154,39700,39700,310M700US39700,"Raymondville, TX","Raymondville, TX Micro Area",M2,2,G3110,1529680708,502856285,+26.4818607,-097.5947313,2087.751301646661,0.1
428,39740,39740,310M700US39740,"Reading, PA","Reading, PA Metro Area",M1,1,G3110,2218077223,24220126,+40.4139565,-075.9268598,2289.6705527775975,0.1
454,39780,39780,310M700US39780,"Red Bluff, CA","Red Bluff, CA Micro Area",M2,2,G3110,7638229378,33767224,+40.1261573,-122.2322737,9524.487071898579,0.1
454,39820,39820,310M700US39820,"Redding, CA","Redding, CA Metro Area",M1,1,G3110,9778891285,185818274,+40.7605142,-122.0435558,12286.80357518961,0.1
378,39860,39860,310M700US39860,"Red Wing, MN","Red Wing, MN Micro Area",M2,2,G3110,1959877521,59113685,+44.4061779,-092.7160003,2027.7119335856037,0.1
456,39900,39900,310M700US39900,"Reno, NV","Reno, NV Metro Area",M1,1,G3110,22229159293,644116169,+40.2510571,-119.5555069,27506.751466495265,0.1
292,39940,39940,310M700US39940,"Rexburg, ID","Rexburg, ID Micro Area",M2,2,G3110,6043029383,93941603,+44.1427534,-111.5081067,6730.807288380891,0.1
,39960,39960,310M700US39960,"Rice Lake, WI","Rice Lake, WI Micro Area",M2,2,G3110,2235299817,69176084,+45.4371917,-091.8528921,2310.80192571536,0.1
458,39980,39980,310M700US39980,"Richmond, IN","Richmond, IN Micro Area",M2,2,G3110,1040539369,6701882,+39.8630908,-085.0067351,1047.153016998463,0.1
,40060,40060,310M700US40060,"Richmond, VA","Richmond, VA Metro Area",M1,1,G3110,11303604082,330877145,+37.4122374,-077.4437202,11831.962096735406,0.1
336,40080,40080,310M700US40080,"Richmond-Berea, KY","Richmond-Berea, KY Micro Area",M2,2,G3110,2609625367,24296130,+37.5966197,-084.2055859,2635.7626661955783,0.1
233,40090,40090,310M700US40090,"Rifle, CO","Rifle, CO Micro Area",M2,2,G3110,10147901558,28179818,+39.5094659,-107.6670613,10985.799931852092,0.1
365,40100,40100,310M700US40100,"Rio Grande City-Roma, TX","Rio Grande City-Roma, TX Micro Area",M2,2,G3110,3168019235,15386849,+26.5309027,-098.7402346,3290.4257036972367,0.1
348,40140,40140,310M700US40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area",M1,1,G3110,70648193821,339279578,+34.5384763,-116.1345414,84592.26197389446,0.1
,40180,40180,310M700US40180,"Riverton, WY","Riverton, WY Micro Area",M2,2,G3110,23785405153,212752232,+43.0548310,-108.6089349,25862.700933434247,0.1
