STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
13,177,92358,01936468,1317792358,0600000US1317792358,Philema,Philema CCD,22,Z5,G4040,S,352782881,11047835,+31.7852169,-084.0349941,364.242790919373,0.1
13,177,92778,01936542,1317792778,0600000US1317792778,Smithville,Smithville CCD,22,Z5,G4040,S,233954906,1814756,+31.8735207,-084.1955039,235.99153066929125,0.1
13,177,91716,01936356,1317791716,0600000US1317791716,Leesburg,Leesburg CCD,22,Z5,G4040,S,334895156,2546238,+31.7250713,-084.2160562,337.7541906263657,0.1
13,259,91848,01936379,1325991848,0600000US1325991848,Lumpkin,Lumpkin CCD,22,Z5,G4040,S,394013184,5339252,+31.9911154,-084.8807183,399.42567500052763,0.1
13,263,93420,01936655,1326393420,0600000US1326393420,Woodland,Woodland CCD,22,Z5,G4040,S,310501089,3318169,+32.7853784,-084.5860281,313.9687362591856,0.1
13,253,92856,01936557,1325392856,0600000US1325392856,Steam Mill,Steam Mill CCD,22,Z5,G4040,S,303512685,33535580,+30.9197836,-084.9199865,337.1071348325461,0.1
13,247,92820,01936551,1324792820,0600000US1324792820,South Rockdale,South Rockdale CCD,22,Z5,G4040,S,115737216,1731034,+33.5940166,-084.0801083,117.5870954814848,0.1
13,247,92214,01936443,1324792214,0600000US1324792214,North Rockdale,North Rockdale CCD,22,Z5,G4040,S,97047988,1913392,+33.7136183,-083.9659194,99.0741808930456,0.1
13,063,91200,01936270,1306391200,0600000US1306391200,Forest Park-Morrow,Forest Park-Morrow CCD,22,Z5,G4040,S,117202531,642205,+33.6042988,-084.3283588,117.92899208271106,0.35187153542958516
13,265,92742,01936536,1326592742,0600000US1326592742,Sharon,Sharon CCD,22,Z5,G4040,S,175192980,647883,+33.5756707,-082.7929341,176.36348272912363,0.1
13,265,90816,01936205,1326590816,0600000US1326590816,Crawfordville,Crawfordville CCD,22,Z5,G4040,S,328836164,1269750,+33.5500338,-082.9231211,331.0071955464221,0.1
13,271,91578,01936333,1327191578,0600000US1327191578,Jacksonville,Jacksonville CCD,22,Z5,G4040,S,339213472,5327859,+31.8535528,-082.9335619,345.5201058938417,0.1
13,271,91842,01936378,1327191842,0600000US1327191842,Lumber City,Lumber City CCD,22,Z5,G4040,S,161497484,3008172,+31.9066406,-082.7722317,165.0232615689384,0.1
13,271,92004,01936406,1327192004,0600000US1327192004,Milan,Milan CCD,22,Z5,G4040,S,345010189,5363570,+31.9260872,-083.0647093,351.2894981139683,0.1
13,311,90696,01936184,1331190696,0600000US1331190696,Cleveland,Cleveland CCD,22,Z5,G4040,S,312157187,1963265,+34.6286527,-083.7898462,314.5430526335841,0.1
