"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"1400000US13121003200","Census Tract 32, Fulton County, Georgia","1166","117","56071","12081","71.3","9.2","58221","8458","24.9","8.5","31591","40793","0.0","3.4","-","-222222222","3.4","3.4","155227","58673","0.0","3.4","-","-222222222","0.4","0.8","-","-222222222","0.0","3.4","-","-222222222","1.3","2.1","-","**","70.0","9.4","58942","8331","6.6","4.9","26477","25912","66.6","7.9","63448","4081","20.4","5.9","43571","24023","6.3","4.4","14091","13031","282","91","72500","28061","31.6","13.1","104313","88597","68.4","13.1","53750","48039","64.9","22.4","77019","30073","28.7","21.9","54464","222859","6.4","6.2","26429","12425","884","124","50667","10451","50.7","11.7","45000","14757","40.4","11.8","32414","24655","10.3","7.8","64199","116107","49.3","11.7","62308","15287","36.7","10.3","54271","16361","12.7","6.6","93095","63224","8.1","-888888888.0","(X)","-888888888","3.5","-888888888.0","(X)","(X)","8.8","-888888888.0","(X)","(X)",
"1400000US13121003500","Census Tract 35, Fulton County, Georgia","720","117","52969","10883","49.7","11.2","63611","24176","39.2","12.2","50370","17204","3.2","4.7","-","-222222222","2.8","4.4","-","-222222222","0.0","5.4","-","-222222222","2.5","3.7","-","-222222222","2.6","2.8","250,000+","-333333333","4.6","4.2","35208","53162","47.6","11.1","67981","24407","12.9","7.7","20273","24857","75.3","8.2","53281","13029","11.8","4.5","76607","9345","0.0","5.4","-","-222222222","151","55","86250","37761","0.0","23.0","-","-222222222","100.0","23.0","86250","37761","76.8","20.8","103750","48998","11.9","17.9","-","**","11.3","11.0","22361","63454","569","120","47194","9648","28.1","14.2","41250","13854","13.5","9.8","40391","14561","14.6","10.6","53073","53510","71.9","14.2","51858","18936","65.6","15.0","51806","23129","6.3","5.7","52000","84612","23.5","-888888888.0","(X)","-888888888","35.1","-888888888.0","(X)","(X)","20.4","-888888888.0","(X)","(X)",
"1400000US13121003600","Census Tract 36, Fulton County, Georgia","719","91","23545","6546","11.0","6.6","102841","53642","86.1","8.5","23053","9798","0.0","5.4","-","-222222222","0.0","5.4","-","-222222222","0.0","5.4","-","-222222222","0.0","5.4","-","-222222222","2.9","4.6","-","-222222222","1.3","2.1","-","**","9.7","6.4","103864","43004","20.2","16.1","5759","22463","38.5","18.0","30966","10108","17.9","8.8","34875","55594","23.4","6.8","10000","7409","74","39","20833","23165","87.8","21.0","9890","28980","12.2","21.0","-","-222222222","18.9","31.5","21944","56564","47.3","34.9","23828","15038","33.8","36.8","-","**","645","92","24250","7475","35.0","11.8","19750","6495","35.0","11.8","19750","6495","0.0","6.0","-","-222222222","65.0","11.8","26969","16502","46.8","12.2","25250","28901","18.1","12.5","115034","205844","27.3","-888888888.0","(X)","-888888888","45.9","-888888888.0","(X)","(X)","25.1","-888888888.0","(X)","(X)",
"1400000US13121003700","Census Tract 37, Fulton County, Georgia","207","106","10781","7974","0.0","17.5","-","-222222222","100.0","17.5","10781","7974","0.0","17.5","-","-222222222","0.0","17.5","-","-222222222","0.0","17.5","-","-222222222","0.0","17.5","-","-222222222","0.0","17.5","-","-222222222","0.0","17.5","-","**","0.0","17.5","-","**","0.0","17.5","-","-222222222","51.7","29.7","9384","6394","44.4","29.5","14706","6120","3.9","6.4","-","-222222222","173","107","9842","12177","73.4","34.7","9239","4524","26.6","34.7","16313","563","2.3","6.7","-","-222222222","97.7","6.7","9784","11163","0.0","20.5","-","**","34","27","12500","5283","73.5","38.7","13162","1957","73.5","38.7","13162","1957","0.0","56.4","-","-222222222","26.5","38.7","-","-222222222","26.5","38.7","-","-222222222","0.0","56.4","-","-222222222","40.6","-888888888.0","(X)","-888888888","48.6","-888888888.0","(X)","(X)","0.0","-888888888.0","(X)","(X)",
"1400000US13121003800","Census Tract 38, Fulton County, Georgia","258","79","23750","11542","0.0","14.3","-","-222222222","100.0","14.3","23750","11542","0.0","14.3","-","-222222222","0.0","14.3","-","-222222222","0.0","14.3","-","-222222222","0.0","14.3","-","-222222222","0.0","14.3","-","-222222222","0.0","14.3","-","**","0.0","14.3","-","**","7.8","12.0","-","-222222222","51.2","20.1","30643","13055","29.5","18.0","23750","12339","11.6","9.0","32813","44347","80","48","30214","17850","46.3","36.6","18348","22487","53.8","36.6","31536","458","0.0","36.7","-","-222222222","90.0","16.1","19911","23570","10.0","16.1","-","**","178","69","22105","17029","12.4","10.3","8929","34183","12.4","10.3","8929","34183","0.0","20.0","-","-222222222","87.6","10.3","23750","27573","60.1","24.7","14313","13830","27.5","20.4","62153","42989","31.0","-888888888.0","(X)","-888888888","53.8","-888888888.0","(X)","(X)","20.8","-888888888.0","(X)","(X)",
"1400000US13121003900","Census Tract 39, Fulton County, Georgia","493","110","15426","5351","1.6","3.4","-","-222222222","97.2","3.9","15369","5197","0.0","7.8","-","-222222222","0.0","7.8","-","-222222222","0.0","7.8","-","-222222222","0.0","7.8","-","-222222222","1.2","2.1","-","-222222222","0.0","7.8","-","**","1.6","3.4","-","**","2.6","4.8","-","-222222222","24.5","14.1","17303","9701","47.1","10.9","7564","4751","25.8","10.8","23125","6204","208","77","22824","11292","39.4","15.6","14000","3663","60.6","15.6","24028","4655","29.8","19.4","24000","44567","55.8","23.1","15694","8685","14.4","16.2","43750","29939","285","110","12989","6745","63.2","23.5","12917","27211","60.7","22.8","11458","27979","2.5","4.7","-","-222222222","36.8","23.5","13015","8527","27.4","20.4","9138","5400","9.5","12.9","16776","32463","34.3","-888888888.0","(X)","-888888888","38.0","-888888888.0","(X)","(X)","31.6","-888888888.0","(X)","(X)",
"1400000US13121004000","Census Tract 40, Fulton County, Georgia","877","110","28399","6260","0.0","4.5","-","-222222222","99.2","1.5","28246","6217","0.0","4.5","-","-222222222","0.0","4.5","-","-222222222","0.0","4.5","-","-222222222","0.0","4.5","-","-222222222","0.8","1.5","-","-222222222","1.0","1.7","-","**","0.0","4.5","-","**","0.8","1.6","2,500-","-333333333","40.4","8.3","32174","11592","25.2","7.1","28906","35330","33.6","6.7","21417","14337","455","105","27552","10992","38.0","12.0","32159","39115","62.0","12.0","26214","7336","38.9","14.3","34844","29991","61.1","14.3","23571","14227","0.0","8.4","-","**","422","122","28750","8733","42.2","14.3","13389","1766","37.9","14.1","12889","1737","4.3","5.1","105250","150096","57.8","14.3","37417","10203","49.8","14.3","40761","8165","8.1","9.5","2,500-","-333333333","43.9","-888888888.0","(X)","-888888888","55.2","-888888888.0","(X)","(X)","30.1","-888888888.0","(X)","(X)",
"1400000US13121004100","Census Tract 41, Fulton County, Georgia","659","106","30668","13463","1.2","1.9","-","-222222222","94.2","5.0","29205","18633","0.0","5.9","-","-222222222","3.5","3.9","42604","17968","0.0","5.9","-","-222222222","0.0","5.9","-","-222222222","1.1","2.1","-","-222222222","0.0","5.9","-","**","1.2","1.9","-","**","0.0","5.9","-","-222222222","38.8","12.1","39318","36814","42.5","11.6","19875","25189","18.7","7.9","31518","34491","417","106","33156","12594","32.9","14.2","21875","25163","67.1","14.2","34569","21405","19.4","10.4","43021","22959","61.2","15.6","11563","11235","19.4","13.6","63646","57128","242","97","20455","19451","65.7","18.6","30163","28657","55.0","20.5","17465","24106","10.7","14.1","48375","35218","34.3","18.6","20114","19671","29.8","17.7","13864","28467","4.5","6.9","-","-222222222","37.3","-888888888.0","(X)","-888888888","41.5","-888888888.0","(X)","(X)","30.2","-888888888.0","(X)","(X)",
"1400000US13121004200","Census Tract 42, Fulton County, Georgia","1142","138","21115","3473","1.4","1.6","60500","71176","96.9","3.0","20726","3654","0.0","3.4","-","-222222222","0.0","3.4","-","-222222222","0.0","3.4","-","-222222222","1.7","2.6","-","-222222222","0.0","3.4","-","-222222222","1.7","2.6","-","**","1.4","1.6","60500","71176","6.4","4.7","10568","18897","35.8","8.7","45350","23023","32.7","6.8","24375","25902","25.1","5.8","8523","620","357","112","24775","50199","53.2","22.2","55234","67773","46.8","22.2","24275","21282","33.3","15.0","63125","51857","54.3","16.9","23125","21392","12.3","11.1","41667","64289","785","131","17383","8406","65.1","10.0","9659","3535","60.4","10.5","9420","818","4.7","5.4","59813","2302","34.9","10.0","30476","15190","25.7","9.5","26310","11662","9.2","7.5","75119","62464","34.9","-888888888.0","(X)","-888888888","47.3","-888888888.0","(X)","(X)","29.2","-888888888.0","(X)","(X)",
"1400000US13121004300","Census Tract 43, Fulton County, Georgia","613","80","28792","10395","9.5","4.6","101346","20950","80.1","10.2","20919","9717","0.0","6.3","-","-222222222","4.9","8.0","-","-222222222","0.0","6.3","-","-222222222","4.1","5.7","-","-222222222","1.5","2.4","-","-222222222","4.1","5.7","-","**","9.5","4.6","101346","20950","32.0","12.8","14219","2659","48.0","13.4","40982","12101","14.8","6.0","100096","168067","5.2","4.2","7708","2188","188","89","40250","14283","52.1","22.8","39250","21749","47.9","22.8","84167","169625","41.0","23.3","150515","149296","29.8","21.8","14474","6293","29.3","23.6","40208","35887","425","96","26198","12469","54.6","16.9","14152","4885","31.3","17.2","6607","13512","23.3","15.4","15563","5750","45.4","16.9","40817","39914","42.4","16.5","41442","61450","3.1","5.1","-","-222222222","46.7","-888888888.0","(X)","-888888888","24.5","-888888888.0","(X)","(X)","56.5","-888888888.0","(X)","(X)",
