"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13089022600","Census Tract 226, DeKalb County, Georgia","306","5496",
"1400000US13089022700","Census Tract 227, DeKalb County, Georgia","308","3862",
"1400000US13089022800","Census Tract 228, DeKalb County, Georgia","404","4385",
"1400000US13089022900","Census Tract 229, DeKalb County, Georgia","489","3161",
"1400000US13089023000","Census Tract 230, DeKalb County, Georgia","182","1856",
"1400000US13089023101","Census Tract 231.01, DeKalb County, Georgia","396","4332",
"1400000US13089023102","Census Tract 231.02, DeKalb County, Georgia","364","3239",
"1400000US13089023107","Census Tract 231.07, DeKalb County, Georgia","645","4090",
"1400000US13089023108","Census Tract 231.08, DeKalb County, Georgia","577","4169",
"1400000US13089023111","Census Tract 231.11, DeKalb County, Georgia","240","1848",
"1400000US13089023112","Census Tract 231.12, DeKalb County, Georgia","563","4442",
"1400000US13089023113","Census Tract 231.13, DeKalb County, Georgia","587","4483",
"1400000US13089023114","Census Tract 231.14, DeKalb County, Georgia","312","2469",
"1400000US13089023115","Census Tract 231.15, DeKalb County, Georgia","184","3031",
"1400000US13089023204","Census Tract 232.04, DeKalb County, Georgia","875","6902",
"1400000US13089023206","Census Tract 232.06, DeKalb County, Georgia","819","8022",
"1400000US13089023208","Census Tract 232.08, DeKalb County, Georgia","576","5610",
"1400000US13089023209","Census Tract 232.09, DeKalb County, Georgia","530","5608",
"1400000US13089023210","Census Tract 232.10, DeKalb County, Georgia","587","6981",
"1400000US13089023211","Census Tract 232.11, DeKalb County, Georgia","389","3317",
"1400000US13089023212","Census Tract 232.12, DeKalb County, Georgia","419","3746",
"1400000US13089023213","Census Tract 232.13, DeKalb County, Georgia","647","4986",
"1400000US13089023214","Census Tract 232.14, DeKalb County, Georgia","517","4924",
"1400000US13089023303","Census Tract 233.03, DeKalb County, Georgia","660","5568",
"1400000US13089023306","Census Tract 233.06, DeKalb County, Georgia","784","7168",
"1400000US13089023309","Census Tract 233.09, DeKalb County, Georgia","766","9945",
"1400000US13089023310","Census Tract 233.10, DeKalb County, Georgia","875","8176",
"1400000US13089023311","Census Tract 233.11, DeKalb County, Georgia","419","4316",
"1400000US13089023312","Census Tract 233.12, DeKalb County, Georgia","858","10055",
"1400000US13089023313","Census Tract 233.13, DeKalb County, Georgia","484","4085",
"1400000US13089023314","Census Tract 233.14, DeKalb County, Georgia","798","6134",
"1400000US13089023315","Census Tract 233.15, DeKalb County, Georgia","479","5334",
"1400000US13089023316","Census Tract 233.16, DeKalb County, Georgia","617","8028",
"1400000US13089023410","Census Tract 234.10, DeKalb County, Georgia","388","3962",
"1400000US13089023411","Census Tract 234.11, DeKalb County, Georgia","472","3905",
"1400000US13089023412","Census Tract 234.12, DeKalb County, Georgia","578","5732",
"1400000US13089023413","Census Tract 234.13, DeKalb County, Georgia","359","3705",
"1400000US13089023414","Census Tract 234.14, DeKalb County, Georgia","701","6358",
"1400000US13089023416","Census Tract 234.16, DeKalb County, Georgia","559","6523",
"1400000US13089023418","Census Tract 234.18, DeKalb County, Georgia","1003","14476",
"1400000US13089023419","Census Tract 234.19, DeKalb County, Georgia","793","8774",
"1400000US13089023421","Census Tract 234.21, DeKalb County, Georgia","804","8278",
"1400000US13089023422","Census Tract 234.22, DeKalb County, Georgia","594","5225",
"1400000US13089023423","Census Tract 234.23, DeKalb County, Georgia","786","8310",
"1400000US13089023424","Census Tract 234.24, DeKalb County, Georgia","471","5327",
"1400000US13089023425","Census Tract 234.25, DeKalb County, Georgia","618","5823",
"1400000US13089023426","Census Tract 234.26, DeKalb County, Georgia","531","4100",
"1400000US13089023427","Census Tract 234.27, DeKalb County, Georgia","341","2766",
"1400000US13089023428","Census Tract 234.28, DeKalb County, Georgia","825","9532",
"1400000US13089023501","Census Tract 235.01, DeKalb County, Georgia","680","4018",
"1400000US13089023504","Census Tract 235.04, DeKalb County, Georgia","459","3745",
"1400000US13089023505","Census Tract 235.05, DeKalb County, Georgia","432","2567",
"1400000US13089023506","Census Tract 235.06, DeKalb County, Georgia","848","6340",
"1400000US13089023507","Census Tract 235.07, DeKalb County, Georgia","484","5063",
"1400000US13089023601","Census Tract 236.01, DeKalb County, Georgia","428","2650",
"1400000US13089023602","Census Tract 236.02, DeKalb County, Georgia","428","1937",
"1400000US13089023603","Census Tract 236.03, DeKalb County, Georgia","417","3078",
"1400000US13089023700","Census Tract 237, DeKalb County, Georgia","671","5505",
"1400000US13089023801","Census Tract 238.01, DeKalb County, Georgia","508","4044",
"1400000US13089023802","Census Tract 238.02, DeKalb County, Georgia","485","4793",
"1400000US13089023803","Census Tract 238.03, DeKalb County, Georgia","594","5632",
"1400000US13089980000","Census Tract 9800, DeKalb County, Georgia","132","0",
"1400000US13121000100","Census Tract 1, Fulton County, Georgia","345","4433",
"1400000US13121000200","Census Tract 2, Fulton County, Georgia","448","6141",
"1400000US13121000400","Census Tract 4, Fulton County, Georgia","197","1672",
"1400000US13121000500","Census Tract 5, Fulton County, Georgia","418","4091",
"1400000US13121000600","Census Tract 6, Fulton County, Georgia","518","4325",
"1400000US13121000700","Census Tract 7, Fulton County, Georgia","1761","4603",
"1400000US13121001001","Census Tract 10.01, Fulton County, Georgia","422","1806",
"1400000US13121001002","Census Tract 10.02, Fulton County, Georgia","1331","9828",
"1400000US13121001100","Census Tract 11, Fulton County, Georgia","310","2953",
"1400000US13121001201","Census Tract 12.01, Fulton County, Georgia","246","3160",
"1400000US13121001202","Census Tract 12.02, Fulton County, Georgia","312","3445",
"1400000US13121001300","Census Tract 13, Fulton County, Georgia","539","4472",
"1400000US13121001400","Census Tract 14, Fulton County, Georgia","313","2441",
"1400000US13121001500","Census Tract 15, Fulton County, Georgia","525","4429",
"1400000US13121001600","Census Tract 16, Fulton County, Georgia","323","2000",
"1400000US13121001700","Census Tract 17, Fulton County, Georgia","447","2553",
"1400000US13121001800","Census Tract 18, Fulton County, Georgia","418","4192",
"1400000US13121001900","Census Tract 19, Fulton County, Georgia","253","2074",
"1400000US13121002100","Census Tract 21, Fulton County, Georgia","1077","4100",
"1400000US13121002300","Census Tract 23, Fulton County, Georgia","404","1683",
"1400000US13121002400","Census Tract 24, Fulton County, Georgia","392","2187",
"1400000US13121002500","Census Tract 25, Fulton County, Georgia","646","2184",
